URL Number,Title,Category,Description,MP3 URL
"""13465""","""少数派报告！""","""Gadio Pro""",""" 少数派报告！你是当时拥有XBOX的少数派么？在最新的微软游戏机面试前，带你回顾一下故事的开端！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058686598_hd.mp3"""
"""13481""","""爸爸你玩啥呢！""","""Gadio Life""",""" 新闻：PS4首发相关报道 任天堂直面会 星之卡比新闻 微软推特祝贺 等等 专题：爸爸你干嘛呢！跟我一起玩！""","""https://www.gcores.com/link?target=https%3A%2F%2Falioss.gcores.com%2Fuploads%2Faudio%2Fc5862d04-b5a2-4901-98c5-dd8a911e2a6f.mp3"""
"""13504""","""揭秘次世代！""","""Gadio Pro""",""" 神秘嘉宾 是真的很神秘 虽然你可能听得出来他来自哪家公司 但是那他也是神秘的嘉宾。再买新的次世代诸主机以前，请听业内人士娓娓道来这个新时代的故事。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058687110_hd.mp3"""
"""13506""","""Mark Cerny-架构起PS的王国!""","""Gadio Pro""",""" 你知道一个叫做Mark Cerny的人么？如果你是一位索饭，应该知道他！他不仅仅是PS4的首席构架师，也是knack的制作人。一个天才游戏制作者，一个与SONY有着千丝万缕联系的非SONY员工。听听他的故事，了解PS系列的一段历史。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058687494_hd.mp3"""
"""13511""","""阿柄！""","""Gadio Life""",""" 新闻：次时代报告 详细细节对比 P5公布 马三弟详情等等 新闻部分很长 后面专题部分聊了聊自己最喜欢的游戏手柄！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F18%2F8156622058687622_hd.mp3"""
"""13555""","""妈！求你了！让我玩儿会儿！""","""Gadio Life""",""" 新闻：VGXX奖项 Miiverse更新 NPD销量 索尼神秘页面 等等 专题：70后80后们，小时候你父母一定不让你玩游戏吧！想尽各式方吧！班里总有告状的傻逼吧?唤起你的回忆！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F20%2F8199492006882054_hd.mp3"""
"""13585""","""大哥！三弟！""","""Gadio Life""",""" 新闻：塞尔达无双 海拉尔英雄 塞尔达 三角力量2 获得GS年度大奖 港版PS4发售 等等  专题：知道为什么吞食天地游戏中没有马超吗？知道司马懿怎么死的吗？知道姜还是老的辣吗？这期节目全告诉你！  本期脏且胡逼 ，引起不适概不负责！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F23%2F8261514018470790_hd.mp3"""
"""13616""","""2013大总结！""","""Gadio Life""",""" 最后一期署名为2013年的节目，GADIO史上第一次超过8人录制节目。节目中大家各抒己见，几乎要打起来了。（开玩笑）听听看今年你都错过哪些大作了吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2013%2F12%2F30%2F8423848749853318_hd.mp3"""
"""13633""","""一切都变了！""","""Gadio Life""",""" 首期年份编号2014的节目，好感动！第4个年头的开始啊！新闻：基本没有 ，eshop 问题等等 专题：可曾自己想过10岁左右玩游戏的你和现在玩游戏都有哪些变化呢？无论是你自身还是游戏本身，一起来听听吧！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2014%2F01%2F06%2F8586222672805894_hd.mp3"""
"""13658""","""陈星汉专访：游戏 电影 以及爱""","""Gadio Pro""","""""与其让生活更美好，不如给他们一个机会去思考“--陈星汉 被业界成为游戏禅师 ，用《Flower》以及《Journey》感动了无数玩家，完全不同于主流游戏的表达方法，完全没有过的游戏体验。太多玩家在游戏结束后陷入了深深的思考，相信每个人心中都有一个属于自己的游戏旅程。 陈星汉专访""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2014%2F01%2F14%2F8771739221756550_hd.mp3"""
"""13664""","""男人的浪漫""","""Gadio Pro""",""" GT系列 一部由机器与钢铁为主要元素的艺术品 她将汽车文化推广到了更多人的生活中 《跑车浪漫旅》，优雅的名字和这款游戏一样，表达了山内一典对于汽车的执着，对于自我要求的完美。一款驾驶模拟类的游戏，一部承载了汽车文化的作品。""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2014%2F01%2F16%2F8818123794811782_hd.mp3"""
"""13680""","""昨天，今天，明天""","""Gadio Pro""",""" 十多年的游戏机禁令即将解除，我们请来亲身经历了游戏机入关各个年代的前《电软》编辑风林。为我们回顾游戏机行货在大陆的历史，以及对于未来的展望！""","""https://www.gcores.com/link?target=https%3A%2F%2Fcdn.lizhi.fm%2Faudio%2F2014%2F01%2F20%2F8910918979161606_hd.mp3"""
